"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 17 14:20:43 GMT 2024","Tue Dec 17 14:20:56 GMT 2024","12905","tests","test_order_registration","TestOrderRegistration","","","Test registering order with min required valid data E2E",""
"passed","Tue Dec 17 14:20:43 GMT 2024","Tue Dec 17 14:20:55 GMT 2024","12218","tests","test_order_registration","TestOrderRegistration","","","Test registering order with min required valid data E2E",""
"passed","Tue Dec 17 14:20:47 GMT 2024","Tue Dec 17 14:20:47 GMT 2024","162","tests","test_search_result","TestSearchResult","","","Test search results page title equals query prompt",""
"passed","Tue Dec 17 14:20:47 GMT 2024","Tue Dec 17 14:20:48 GMT 2024","167","tests","test_search_result","TestSearchResult","","","Test first search result item has target name",""
