"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 17 14:52:45 GMT 2024","Tue Dec 17 14:52:50 GMT 2024","4801","","","","","","Test registering order with min required valid data E2E",""
"passed","Tue Dec 17 14:52:48 GMT 2024","Tue Dec 17 14:52:48 GMT 2024","105","tests","test_search_result","TestSearchResult","","","Test search results page title equals query prompt",""
"passed","Tue Dec 17 14:52:45 GMT 2024","Tue Dec 17 14:52:50 GMT 2024","4769","","","","","","Test registering order with min required valid data E2E",""
"broken","Tue Dec 17 14:52:44 GMT 2024","Tue Dec 17 14:52:44 GMT 2024","0","","","","","","Test first search result item has target name",""
